species,mobility,body_size
Abietinaria abietina,0,30
Acanthocardia echinata,1,0.753333333
Acrocnida brachiata,1,18
Aequipecten opercularis,1,9
Agonus cataphractus,2,1.666666667
Alcyonidium diaphanum,0,32.5
Alcyonium digitatum,0,8.7
Alloteuthis subulata,2,21
Ammodytes marinus,2,2.45
Ammodytes tobianus,2,2
Anapagurus laevis,1,1
Aphrodita aculeata,1,15.675
Aporrhais pespelecani,1,2.64
Arctica islandica,1,1.236666667
Arnoglossus laterna,2,1.866666667
Ascidiella scabra,0,2.466666667
Asterias rubens,1,38.4
Astropecten irregularis,1,14
Atelecyclus rotundatus,1,2.363333333
Botryllus schlosseri,0,0.05
Buccinum undatum,1,5.7
Buglossidium luteum,2,1.2
Bugulina angustiloba,0,3.5
Callionymus lyra,2,2.4
Callionymus maculatus,2,2
Callionymus reticulatus,2,1
Cancer pagurus,1,14.24
Chelidonichthys lucerna,2,5.5
Clupea harengus,2,45
Clytia hemisphaerica,2,1
Colus gracilis,1,3.5
Coryne muscoides,0,15
Corystes cassivelaunus,1,0.64
Crangon crangon,2,9
Diplecogaster bimaculata,2,0.55
Donax vittatus,1,3.5
Ebalia cranchii,1,0.95
Ebalia tumefacta,1,1.1
Echiichthys vipera,2,1.3
Echinocardium cordatum,1,4.267777778
Electra pilosa,0,11.93136364
Ensis ensis,1,13
Ensis magnus,1,15
Ensis siliqua,1,20
Entelurus aequoreus,2,4.74
Epizoanthus papillosus,0,1.725
Eudendrium rameum,0,17.5
Euspira catena,1,3
Eutrigla gurnardus,2,4.5
Flustra foliacea,0,1.211
Gadus morhua,2,15
Galathea intermedia,1,1.0575
Gari fervensis,1,0.5
Gymnammodytes semisquamatus,2,2.25
Halecium beanii,0,22.125
Halecium halecinum,0,14.25
Halichondria panicea,0,26.74375
Hiatella arctica,1,2.5
Hippoglossoides platessoides,2,40
Hyas coarctatus,1,2.803333333
Hydrallmania falcata,0,5
Hyperoplus lanceolatus,2,3.066666667
Inachus dorsettensis,1,2.725
Inachus phalangium,1,1.7
Laomedea flexuosa,0,3.5
Limanda limanda,2,3.25
Liocarcinus depurator,2,1.501666667
Liocarcinus holsatus,2,1.94
Liocarcinus marmoreus,2,1.733333333
Liocarcinus pusillus,2,1.176666667
Lophius piscatorius,2,50
Luidia ciliaris,1,42.66666667
Luidia sarsii,1,15
Macropodia rostrata,1,1.732
Mactra stultorum,1,0.5
Melanogrammus aeglefinus,2,50
Membranipora membranacea,0,0.041666667
Merlangius merlangus,2,5.45
Microstomus kitt,2,6.55
Molgula occulta,2,1.65
Musculus subpictus,1,2
Myoxocephalus scorpius,2,3.8
Neanthes fucata,1,9.275
Necora puber,2,5.72
Nemertesia antennina,0,25
Neptunea antiqua,1,4.56
Obelia geniculata,0,5
Obelia longissima,0,35
Onchidoris muricata,1,1.55
Ophiothrix fragilis,1,3.175
Ophiura albida,1,2.03
Ophiura ophiura,1,4.0875
Pagurus bernhardus,1,1.74
Pagurus cuanensis,1,0.82
Pandalus montagui,2,13.6
Pecten maximus,1,15
Philocheras trispinosus,2,2.7
Pholis gunnellus,2,25
Pinnotheres pisum,1,0.96
Pisidia longicornis,1,0.48
Pleuronectes platessa,2,6.333333333
Pomatoschistus microps,2,0.8
Pomatoschistus minutus,2,1.1
Pomatoschistus pictus,2,0.575
Processa modica,2,3.3
Psammechinus miliaris,1,4.4
Raja clavata,2,10.725
Securiflustra securifrons,0,10
Semibalanus balanoides,0,1.777777778
Sepiola atlantica,2,2
Sertularella polyzonias,0,5
Sertularia cupressina,0,5
Solea solea,2,5.166666667
Spirobranchus triqueter,1,0.12
Spisula elliptica,1,3
Spisula solida,1,5
Spisula subtruncata,1,2.5
Steromphala tumida,1,0.95
Syngnathus rostellatus,2,1.7
Zeugopterus norvegicus,1,12
